datetime,PlotPoints,Message,Latitude,Longitude
6/20/2017 12:57,0-2573760,UNLIMITED-TRACK,32.58232,-117.34224
6/20/2017 12:55,0-2573891,UNLIMITED-TRACK,32.59291,-117.34445
6/20/2017 12:55,0-2574334,UNLIMITED-TRACK,32.57194,-117.33662
6/20/2017 12:54,0-2572498,UNLIMITED-TRACK,32.59243,-117.34561
6/20/2017 12:51,0-2573760,UNLIMITED-TRACK,32.58268,-117.34239
6/20/2017 12:50,0-2573891,UNLIMITED-TRACK,32.59307,-117.34476
6/20/2017 12:50,0-2572498,UNLIMITED-TRACK,32.59258,-117.34583
6/20/2017 12:50,0-2574334,UNLIMITED-TRACK,32.57243,-117.33694
6/20/2017 12:46,0-2573760,UNLIMITED-TRACK,32.58305,-117.34248
6/20/2017 12:45,0-2573891,UNLIMITED-TRACK,32.59323,-117.34503
6/20/2017 12:45,0-2574334,UNLIMITED-TRACK,32.57291,-117.33727
6/20/2017 12:44,0-2572498,UNLIMITED-TRACK,32.59274,-117.34612
6/20/2017 12:41,0-2573760,UNLIMITED-TRACK,32.58342,-117.34261
6/20/2017 12:41,0-2573891,UNLIMITED-TRACK,32.59338,-117.34528
6/20/2017 12:40,0-2574334,UNLIMITED-TRACK,32.57343,-117.33757
6/20/2017 12:39,0-2572498,UNLIMITED-TRACK,32.5929,-117.34634
6/20/2017 12:36,0-2573760,UNLIMITED-TRACK,32.58377,-117.34279
6/20/2017 12:35,0-2573891,UNLIMITED-TRACK,32.59353,-117.34561
6/20/2017 12:35,0-2574334,UNLIMITED-TRACK,32.57396,-117.33789
6/20/2017 12:34,0-2572498,UNLIMITED-TRACK,32.59306,-117.34657
6/20/2017 12:31,0-2573760,UNLIMITED-TRACK,32.58413,-117.34296
6/20/2017 12:31,0-2574334,UNLIMITED-TRACK,32.5744,-117.33817
6/20/2017 12:30,0-2573891,UNLIMITED-TRACK,32.59368,-117.34593
6/20/2017 12:29,0-2572498,UNLIMITED-TRACK,32.5932,-117.34683
6/20/2017 12:26,0-2573760,UNLIMITED-TRACK,32.5845,-117.34312
6/20/2017 12:25,0-2573891,UNLIMITED-TRACK,32.59385,-117.34619
6/20/2017 12:25,0-2574334,UNLIMITED-TRACK,32.57495,-117.33856
6/20/2017 12:24,0-2572498,UNLIMITED-TRACK,32.59335,-117.34712
6/20/2017 12:21,0-2573760,UNLIMITED-TRACK,32.58486,-117.34328
6/20/2017 12:20,0-2573891,UNLIMITED-TRACK,32.594,-117.34647
6/20/2017 12:20,0-2574334,UNLIMITED-TRACK,32.57545,-117.33885
6/20/2017 12:19,0-2572498,UNLIMITED-TRACK,32.59351,-117.34734
6/20/2017 12:16,0-2573760,UNLIMITED-TRACK,32.58522,-117.34343
6/20/2017 12:15,0-2573891,UNLIMITED-TRACK,32.59416,-117.34671
6/20/2017 12:15,0-2574334,UNLIMITED-TRACK,32.57592,-117.3392
6/20/2017 12:14,0-2572498,UNLIMITED-TRACK,32.59365,-117.3476
6/20/2017 12:11,0-2573760,UNLIMITED-TRACK,32.58561,-117.34355
6/20/2017 12:10,0-2573891,UNLIMITED-TRACK,32.5943,-117.34698
6/20/2017 12:10,0-2574334,UNLIMITED-TRACK,32.57642,-117.33952
6/20/2017 12:09,0-2572498,UNLIMITED-TRACK,32.59378,-117.34784
6/20/2017 12:06,0-2573760,UNLIMITED-TRACK,32.58596,-117.34372
6/20/2017 12:05,0-2573891,UNLIMITED-TRACK,32.59442,-117.34726
6/20/2017 12:05,0-2574334,UNLIMITED-TRACK,32.57695,-117.33986
6/20/2017 12:04,0-2572498,UNLIMITED-TRACK,32.59393,-117.34808
6/20/2017 12:01,0-2573760,UNLIMITED-TRACK,32.58634,-117.34386
6/20/2017 12:00,0-2573891,UNLIMITED-TRACK,32.59452,-117.34752
6/20/2017 12:00,0-2574334,UNLIMITED-TRACK,32.57749,-117.34021
6/20/2017 11:59,0-2572498,UNLIMITED-TRACK,32.59404,-117.3483
6/20/2017 11:57,0-2573760,UNLIMITED-TRACK,32.58666,-117.34398
6/20/2017 11:55,0-2573891,UNLIMITED-TRACK,32.59464,-117.34778
6/20/2017 11:55,0-2574334,UNLIMITED-TRACK,32.57801,-117.34053
6/20/2017 11:54,0-2572498,UNLIMITED-TRACK,32.59415,-117.34853
6/20/2017 11:51,0-2573760,UNLIMITED-TRACK,32.58706,-117.34419
6/20/2017 11:50,0-2573891,UNLIMITED-TRACK,32.59473,-117.34808
6/20/2017 11:50,0-2574334,UNLIMITED-TRACK,32.57857,-117.34085
6/20/2017 11:50,0-2572498,UNLIMITED-TRACK,32.59423,-117.34875
6/20/2017 11:46,0-2573760,UNLIMITED-TRACK,32.58743,-117.34441
6/20/2017 11:45,0-2573891,UNLIMITED-TRACK,32.59483,-117.34836
6/20/2017 11:45,0-2574334,UNLIMITED-TRACK,32.5791,-117.34117
6/20/2017 11:44,0-2572498,UNLIMITED-TRACK,32.59433,-117.349
6/20/2017 11:41,0-2573760,UNLIMITED-TRACK,32.58778,-117.34465
6/20/2017 11:41,0-2573891,UNLIMITED-TRACK,32.59491,-117.3486
6/20/2017 11:40,0-2574334,UNLIMITED-TRACK,32.57964,-117.34149
6/20/2017 11:39,0-2572498,UNLIMITED-TRACK,32.59442,-117.34926
6/20/2017 11:36,0-2573760,UNLIMITED-TRACK,32.58812,-117.34486
6/20/2017 11:35,0-2573891,UNLIMITED-TRACK,32.59501,-117.34894
6/20/2017 11:35,0-2574334,UNLIMITED-TRACK,32.58016,-117.34186
6/20/2017 11:34,0-2572498,UNLIMITED-TRACK,32.59452,-117.3495
6/20/2017 11:31,0-2573760,UNLIMITED-TRACK,32.5885,-117.34506
6/20/2017 11:31,0-2574334,UNLIMITED-TRACK,32.58063,-117.34218
6/20/2017 11:30,0-2573891,UNLIMITED-TRACK,32.59512,-117.34924
6/20/2017 11:29,0-2572498,UNLIMITED-TRACK,32.59464,-117.34978
6/20/2017 11:26,0-2573760,UNLIMITED-TRACK,32.58888,-117.34528
6/20/2017 11:25,0-2573891,UNLIMITED-TRACK,32.59521,-117.3495
6/20/2017 11:25,0-2574334,UNLIMITED-TRACK,32.58122,-117.34259
6/20/2017 11:24,0-2572498,UNLIMITED-TRACK,32.59473,-117.35005
6/20/2017 11:21,0-2573760,UNLIMITED-TRACK,32.58924,-117.34554
6/20/2017 11:20,0-2573891,UNLIMITED-TRACK,32.59532,-117.34972
6/20/2017 11:20,0-2574334,UNLIMITED-TRACK,32.58176,-117.34291
6/20/2017 11:19,0-2572498,UNLIMITED-TRACK,32.59484,-117.3503
6/20/2017 11:16,0-2573760,UNLIMITED-TRACK,32.58961,-117.34575
6/20/2017 11:15,0-2573891,UNLIMITED-TRACK,32.59543,-117.34993
6/20/2017 11:15,0-2574334,UNLIMITED-TRACK,32.58231,-117.34326
6/20/2017 11:14,0-2572498,UNLIMITED-TRACK,32.59494,-117.35046
6/20/2017 11:11,0-2573760,UNLIMITED-TRACK,32.58998,-117.34596
6/20/2017 11:10,0-2573891,UNLIMITED-TRACK,32.59551,-117.35016
6/20/2017 11:10,0-2574334,UNLIMITED-TRACK,32.58283,-117.3436
6/20/2017 11:09,0-2572498,UNLIMITED-TRACK,32.59504,-117.35066
6/20/2017 11:06,0-2573760,UNLIMITED-TRACK,32.59036,-117.34619
6/20/2017 11:05,0-2573891,UNLIMITED-TRACK,32.59563,-117.35037
6/20/2017 11:05,0-2574334,UNLIMITED-TRACK,32.58334,-117.34387
6/20/2017 11:04,0-2572498,UNLIMITED-TRACK,32.59514,-117.35088
6/20/2017 11:01,0-2573760,UNLIMITED-TRACK,32.59075,-117.34641
6/20/2017 11:00,0-2573891,UNLIMITED-TRACK,32.59573,-117.35059
6/20/2017 11:00,0-2574334,UNLIMITED-TRACK,32.58385,-117.34422
6/20/2017 10:59,0-2572498,UNLIMITED-TRACK,32.59525,-117.35104
6/20/2017 10:57,0-2573760,UNLIMITED-TRACK,32.59106,-117.34662
6/20/2017 10:55,0-2574334,UNLIMITED-TRACK,32.58441,-117.34459
6/20/2017 10:55,0-2573891,UNLIMITED-TRACK,32.59584,-117.3508
6/20/2017 10:54,0-2572498,UNLIMITED-TRACK,32.59538,-117.35124
6/20/2017 10:51,0-2573760,UNLIMITED-TRACK,32.59147,-117.34691
6/20/2017 10:50,0-2573891,UNLIMITED-TRACK,32.59595,-117.35103
6/20/2017 10:50,0-2572498,UNLIMITED-TRACK,32.59548,-117.35141
6/20/2017 10:50,0-2574334,UNLIMITED-TRACK,32.58496,-117.34496
6/20/2017 10:46,0-2573760,UNLIMITED-TRACK,32.59184,-117.34715
6/20/2017 10:45,0-2573891,UNLIMITED-TRACK,32.59604,-117.35127
6/20/2017 10:45,0-2574334,UNLIMITED-TRACK,32.5855,-117.34531
6/20/2017 10:44,0-2572498,UNLIMITED-TRACK,32.5956,-117.35168
6/20/2017 10:41,0-2573760,UNLIMITED-TRACK,32.59221,-117.34741
6/20/2017 10:41,0-2573891,UNLIMITED-TRACK,32.59612,-117.35147
6/20/2017 10:40,0-2574334,UNLIMITED-TRACK,32.58604,-117.34566
6/20/2017 10:39,0-2572498,UNLIMITED-TRACK,32.59572,-117.3519
6/20/2017 10:36,0-2573760,UNLIMITED-TRACK,32.59255,-117.34772
6/20/2017 10:36,0-2573891,UNLIMITED-TRACK,32.59621,-117.35173
6/20/2017 10:35,0-2574334,UNLIMITED-TRACK,32.5866,-117.34601
6/20/2017 10:34,0-2572498,UNLIMITED-TRACK,32.59584,-117.3521
6/20/2017 10:31,0-2573760,UNLIMITED-TRACK,32.59292,-117.34802
6/20/2017 10:31,0-2574334,UNLIMITED-TRACK,32.58708,-117.3463
6/20/2017 10:30,0-2573891,UNLIMITED-TRACK,32.59636,-117.35194
6/20/2017 10:29,0-2572498,UNLIMITED-TRACK,32.59596,-117.35225
6/20/2017 10:26,0-2573760,UNLIMITED-TRACK,32.5933,-117.34831
6/20/2017 10:25,0-2574334,UNLIMITED-TRACK,32.58768,-117.34676
6/20/2017 10:25,0-2573891,UNLIMITED-TRACK,32.59648,-117.35211
6/20/2017 10:24,0-2572498,UNLIMITED-TRACK,32.59608,-117.3524
6/20/2017 10:21,0-2573760,UNLIMITED-TRACK,32.59368,-117.34863
6/20/2017 10:20,0-2574334,UNLIMITED-TRACK,32.58824,-117.34714
6/20/2017 10:20,0-2573891,UNLIMITED-TRACK,32.59658,-117.35229
